Achira (Canna, Arrowroot) | Scientific Names: Canna edulis | Family: Cannaceae
Acorn Squash (Similar plants:pumpkin, zucchini) | Scientific Names: Cucurbita pepo | Family: Cucurbitaceae
African Daisy (Barberton Daisy, Veldt Daisy, Transvaal Daisy, Gerber Daisy) | Scientific Names: Gerbera jamesonii | Family: Compositae
African Violet (Cape Marigold) | Scientific Names: Saintpaulia spp. | Family: Gesneriaceae
Algaroba (Kiawe, Mesquite) | Scientific Names: Prosopis limensis | Family: Mimosaceae
Aluminum Plant (Watermelon Plant) | Scientific Names: Pilea cadieri | Family: Urticaceae
Alumroot (Coral Bells, Heuchera) | Scientific Names: Heuchera sanguinea | Family: Saxifragaceae
Alyssum (Alyssum varieties) | Scientific Names: Alyssum spp. | Family: Brassicaceae
American Rubber Plant (Pepper Face, Baby Rubber Plant) | Scientific Names: Peperomia obtusifolia | Family: Pipericeae
Amur Maple (Maple, Amur) | Scientific Names: Acer ginnala | Family: Aceraceae
Anthericum Comosum (Ribbon Plant, Spider Plant, Spider Ivy) | Scientific Names: Chlorophytum comosum | Family: Liliaceae
Antirrhinum Multiflorum (Withered Snapdragon) | Scientific Names: Antirrhinum multiflorum | Family: Scrophulariaceae
Arabian Gentian (Persian Violet, German Violet) | Scientific Names: Exacum affine | Family: Gentianaceae
Areca Palm (Golden Butterfly Palm, Cane Palm, Golden Feather Palm, Yellow Palm) | Scientific Names: Dypsis lutescens | Family: Palmae
Aregelia (Crimson cup, Marbled fingernail,Blushing bromeliad, Ossifragi Vase, Miniature Marble plant) | Scientific Names: Neoregalia spp. | Family: Bromeliaceae
Artillery Plant () | Scientific Names: Pilea microphylla | Family: Urticaceae
Asparagus Fern (Asparagus, Emerald Feather, Emerald Fern, Sprengeri Fern, Plumosa Fern, Lace Fern, Racemose Asparagus, Shatavari) | Scientific Names: Asparagus densiflorus cv sprengeri | Family: Liliaceae
Aspidium falcatum (Fern Holly, Japanese Holly, Fish Tail) | Scientific Names: Cyrtomium falcatum | Family: Polypodiaceae
Australian Pine (Norfolk Pine, House Pine, Norfolk Island Pine) | Scientific Names: Araucaria heterophylla | Family: Araucariaceae
Autumn Olive (Silver Berry, Russian Olive) | Scientific Names: Eleagnus spp. | Family: Elaeagnaceae
Baby Rubber Plant (Pepper Face, American Rubber Plant) | Scientific Names: Peperomia obtusifolia | Family: Pipericeae
Baby’s Breath (Maidens Breath) | Scientific Names: Gypsophila elegans | Family: Caryophyllaceae
Baby’s Tears (Polka Dot Plant, Measles Plant, Flamingo Plant, Freckle Face, Pink Splash) | Scientific Names: Hypoestes phyllostachya | Family: Acanthaceae
Bachelors Buttons (Cornflower, Bluebottle) | Scientific Names: Centaurea cyanus | Family: Asteraceae
Ball Fern (Rabbit's Foot Fern, Squirrel Foot Fern, Deer Foot Fern, Hare Fern) | Scientific Names: Davallia spp. | Family: Polypodiaceae
Bamboo (Golden Bamboo, Fishpole Bamboo) | Scientific Names: Phyllostachys aurea | Family: Gramineae
